theta,registry,side,kind,grid_s,gross_bp,net_real_bp,peak_fav_bp,t_peak_c,giveback_bp,max_adv_bp,dur_c,frac_peak,clmx60_pk,er600_pk,slean_pk,hod_pk,slmax,t_slmax_c,slmax60,r8_a05x0_trig,r8_a05x0_t_c,r8_a05x0_gx,r8_a10x0_trig,r8_a10x0_t_c,r8_a10x0_gx,r8_a20x0_trig,r8_a20x0_t_c,r8_a20x0_gx,r8_a10xm10_trig,r8_a10xm10_t_c,r8_a10xm10_gx,dive_depth,lag_bp,hod_entry,entry_idx
80.0,0,-1,fallback,1.0,-10.33,-26.33,29.85,76,40.18,17.22,122,0.623,2.833,0.145,0.2508,10,0.3697,12,0.6366,0,-1,,0,-1,,0,-1,,0,-1,,0.6642,80.85,10,125303
80.0,0,1,confirm,1.0,-6.88,-22.88,34.4,924,41.28,58.49,1164,0.794,1.37,0.161,0.1231,11,0.2406,911,0.7702,1,166,-48.17,1,166,-48.17,1,995,1.15,1,600,-5.73,0.0316,40.3,10,125425
80.0,0,-1,confirm,1.0,-45.9,-61.9,36.72,320,82.63,45.9,604,0.53,0.674,0.127,0.0502,11,0.2096,562,0.9165,0,-1,,0,-1,,0,-1,,0,-1,,0.2618,41.14,11,126589
80.0,0,1,fallback,1.0,19.42,3.42,62.83,699,43.41,22.85,762,0.917,2.17,0.104,-0.0442,11,0.0531,536,0.9316,1,568,20.56,0,-1,,0,-1,,0,-1,,0.6919,82.93,11,127193
80.0,0,-1,confirm,1.0,38.76,22.76,79.81,699,41.04,13.68,920,0.76,3.855,0.168,0.4563,11,0.5235,671,0.8393,0,-1,,0,-1,,0,-1,,0,-1,,0.0743,43.14,11,127955
80.0,0,1,confirm,1.0,75.54,59.54,116.74,999,41.2,1.14,1232,0.811,2.027,0.157,0.3013,12,0.3587,967,0.8425,0,-1,,0,-1,,0,-1,,0,-1,,0.5182,41.37,11,128875
80.0,0,-1,confirm,1.0,-0.0,-16.0,40.9,204,40.9,0.0,495,0.412,0.181,0.064,0.0474,12,0.2395,359,0.75,0,-1,,0,-1,,0,-1,,0,-1,,0.1034,40.73,12,130107
80.0,0,1,confirm,1.0,72.7,56.7,113.6,451,40.9,28.4,612,0.737,5.674,0.23,0.3934,12,0.4097,213,0.8856,0,-1,,0,-1,,0,-1,,0,-1,,0.3152,41.06,12,130602
80.0,0,-1,confirm,1.0,-72.18,-88.18,11.28,12,83.46,72.18,307,0.039,0.656,0.084,-0.3399,12,-0.257,306,0.6113,0,-1,,0,-1,,0,-1,,0,-1,,0.4487,40.44,12,131214
80.0,0,1,fallback,1.0,-8.96,-24.96,31.35,98,40.31,8.96,190,0.516,0.876,0.111,0.2628,12,0.2628,98,0.4814,0,-1,,0,-1,,0,-1,,0,-1,,0.3958,83.55,12,131521
80.0,0,-1,confirm,1.0,90.78,74.78,131.12,2998,40.35,51.55,3221,0.931,2.214,0.179,0.4656,13,0.5064,2363,0.8978,0,-1,,0,-1,,0,-1,,0,-1,,0.0697,40.18,12,131711
80.0,0,1,confirm,1.0,52.02,36.02,95.0,205,42.98,11.31,380,0.539,1.432,0.132,-0.0913,13,0.1025,369,0.6854,0,-1,,0,-1,,0,-1,,0,-1,,0.5928,40.88,13,134932
80.0,0,-1,confirm,1.0,-81.01,-97.01,1.13,15,82.13,81.01,263,0.057,1.024,0.081,-0.0346,13,-0.0289,17,0.6273,0,-1,,0,-1,,0,-1,,0,-1,,0.5602,42.57,13,135312
80.0,0,1,fallback,1.0,-37.95,-53.95,2.23,1,40.18,37.95,190,0.005,0.947,0.105,0.3461,13,0.3616,173,0.7941,0,-1,,0,-1,,0,-1,,0,-1,,0.1119,82.14,13,135575
80.0,0,-1,confirm,1.0,13.44,-2.56,54.9,665,41.45,10.08,839,0.793,0.732,0.05,-0.0628,13,-0.0035,829,0.7215,0,-1,,0,-1,,0,-1,,0,-1,,0.3834,40.17,13,135765
80.0,0,1,confirm,1.0,6.73,-9.27,48.24,310,41.51,8.97,489,0.634,0.506,0.074,0.3201,14,0.3371,411,0.8976,0,-1,,0,-1,,0,-1,,0,-1,,0.4752,41.68,13,136604
