theta,registry,side,kind,grid_s,gross_bp,net_real_bp,peak_fav_bp,t_peak_c,giveback_bp,max_adv_bp,dur_c,frac_peak,clmx60_pk,er600_pk,slean_pk,hod_pk,slmax,t_slmax_c,slmax60,r8_a05x0_trig,r8_a05x0_t_c,r8_a05x0_gx,r8_a10x0_trig,r8_a10x0_t_c,r8_a10x0_gx,r8_a20x0_trig,r8_a20x0_t_c,r8_a20x0_gx,r8_a10xm10_trig,r8_a10xm10_t_c,r8_a10xm10_gx,dive_depth,lag_bp,hod_entry,entry_idx
80.0,0,1,fallback,1.0,-26.3,-42.3,13.84,171,40.14,26.3,334,0.512,0.663,0.169,0.4674,21,0.4674,171,0.7904,0,-1,,0,-1,,0,-1,,0,-1,,0.7155,93.61,21,77607
80.0,0,-1,confirm,1.0,-48.58,-64.58,31.92,75,80.5,48.58,528,0.142,2.899,0.002,-0.1102,21,0.2725,433,0.8348,0,-1,,0,-1,,0,-1,,0,-1,,0.6079,40.09,21,77941
80.0,0,1,fallback,1.0,60.77,44.77,103.59,891,42.82,2.76,914,0.975,0.851,0.096,0.3655,22,0.484,730,0.8518,0,-1,,0,-1,,0,-1,,0,-1,,0.7724,80.76,21,78469
80.0,0,-1,confirm,1.0,53.54,37.54,96.1,1114,42.56,19.22,1262,0.883,0.984,0.115,0.0387,22,0.1018,645,0.6403,1,728,59.03,1,728,59.03,0,-1,,0,-1,,0.0525,42.38,22,79383
80.0,0,1,confirm,1.0,-64.87,-80.87,17.94,74,82.82,64.87,830,0.089,1.164,0.044,0.0753,22,0.0767,83,0.5324,1,190,-6.9,0,-1,,0,-1,,0,-1,,0.1037,42.97,22,80645
80.0,0,-1,fallback,1.0,-40.29,-56.29,-0.0,0,40.29,40.29,146,0.0,4.153,0.112,0.3845,22,0.3845,0,0.7509,0,-1,,0,-1,,0,-1,,0,-1,,0.4471,82.67,22,81475
80.0,0,1,confirm,1.0,-60.88,-76.88,19.37,56,80.25,60.88,1382,0.041,2.71,0.023,-0.2099,22,0.085,1087,0.8769,1,1132,-20.76,0,-1,,0,-1,,0,-1,,0.7509,40.29,22,81621
80.0,0,-1,fallback,1.0,-6.96,-22.96,34.8,455,41.77,23.67,521,0.873,1.281,0.132,0.2684,23,0.2785,318,0.8248,0,-1,,0,-1,,0,-1,,0,-1,,0.1084,80.1,23,83003
80.0,0,1,confirm,1.0,-51.47,-67.47,29.22,3962,80.69,51.47,4400,0.9,1.47,0.089,0.064,0,0.2506,1319,0.9406,1,1586,-36.17,1,1586,-36.17,1,1586,-36.17,1,2094,-25.04,0.5785,41.91,23,83524
80.0,0,-1,fallback,1.0,15.38,-0.62,55.94,96,40.55,6.99,108,0.889,2.47,0.157,0.1075,0,0.2325,21,0.4735,0,-1,,0,-1,,0,-1,,0,-1,,0.477,80.45,0,87924
