theta,registry,side,kind,grid_s,gross_bp,net_real_bp,peak_fav_bp,t_peak_c,giveback_bp,max_adv_bp,dur_c,frac_peak,clmx60_pk,er600_pk,slean_pk,hod_pk,slmax,t_slmax_c,slmax60,r8_a05x0_trig,r8_a05x0_t_c,r8_a05x0_gx,r8_a10x0_trig,r8_a10x0_t_c,r8_a10x0_gx,r8_a20x0_trig,r8_a20x0_t_c,r8_a20x0_gx,r8_a10xm10_trig,r8_a10xm10_t_c,r8_a10xm10_gx,dive_depth,lag_bp,hod_entry,entry_idx
80.0,1,-1,fallback,1.0,-21.67,-37.67,20.82,184,42.5,21.67,360,0.511,1.434,0.247,0.319,8,0.319,184,0.6593,0,-1,,0,-1,,0,-1,,0,-1,,0.4187,80.1,8,115968
80.0,1,1,confirm,1.0,-51.74,-67.74,34.43,2397,86.17,51.74,3243,0.739,0.806,0.175,0.1745,8,0.2681,1076,0.9449,1,1910,-5.57,1,1910,-5.57,1,1910,-5.57,1,2745,-17.58,0.4895,42.59,8,116328
80.0,1,-1,fallback,1.0,37.46,21.46,77.32,1109,39.86,33.43,1314,0.844,1.419,0.123,0.364,9,0.4834,794,0.8688,0,-1,,0,-1,,0,-1,,0,-1,,0.6778,85.87,9,119571
80.0,1,1,confirm,1.0,7.39,-8.61,48.92,1513,41.53,27.62,1789,0.846,1.727,0.095,0.0697,9,0.3639,680,0.7995,1,1261,14.62,1,1261,14.62,1,1261,14.62,0,-1,,0.5414,40.17,9,120885
80.0,1,-1,confirm,1.0,0.72,-15.28,41.34,706,40.62,9.44,908,0.778,1.503,0.103,0.1108,10,0.4683,371,0.851,0,-1,,0,-1,,0,-1,,0,-1,,0.3642,41.33,10,122674
80.0,1,1,confirm,1.0,-80.31,-96.31,0.0,1,80.31,80.31,595,0.002,0.577,0.053,-0.0347,10,-0.0198,63,0.3773,0,-1,,0,-1,,0,-1,,0,-1,,0.6435,40.79,10,123582
80.0,1,-1,fallback,1.0,-33.92,-49.92,11.32,31,45.24,33.92,263,0.118,2.84,0.191,0.4521,10,0.4585,47,0.6794,0,-1,,0,-1,,0,-1,,0,-1,,0.2458,80.31,10,124177
80.0,1,1,confirm,1.0,-72.0,-88.0,12.76,322,84.76,72.0,2215,0.145,0.593,0.083,-0.0627,10,0.2001,377,0.6892,1,470,7.1,1,470,7.1,1,470,7.1,0,-1,,0.6339,45.29,10,124440
80.0,1,-1,fallback,1.0,-35.44,-51.44,5.21,19,40.66,35.44,436,0.044,2.484,0.082,0.0621,11,0.1633,306,0.3445,1,366,-24.34,1,366,-24.34,0,-1,,0,-1,,0.4078,84.65,11,126655
80.0,1,1,confirm,1.0,9.37,-6.63,54.69,793,45.32,11.71,864,0.918,1.009,0.122,0.5336,11,0.5467,752,0.8119,0,-1,,0,-1,,0,-1,,0,-1,,0.2306,40.68,11,127091
80.0,1,-1,confirm,1.0,11.14,-4.86,53.51,699,42.37,8.05,961,0.727,0.464,0.141,0.0995,11,0.1589,530,0.7007,1,895,25.21,1,895,25.21,0,-1,,1,920,23.62,0.3784,45.07,11,127955
80.0,1,1,confirm,1.0,-3.2,-19.2,37.78,958,40.98,17.61,1229,0.779,1.823,0.148,0.1245,12,0.1998,168,0.6423,1,1029,2.88,1,1029,2.88,0,-1,,0,-1,,0.2591,42.6,11,128916
80.0,1,-1,confirm,1.0,-72.69,-88.69,9.29,24,81.98,72.69,822,0.029,1.766,0.059,0.0587,12,0.1075,4,0.4977,1,380,-24.71,1,380,-24.71,0,-1,,1,749,-50.02,0.2534,40.82,12,130145
80.0,1,1,fallback,1.0,37.87,21.87,78.44,90,40.58,0.05,214,0.421,2.502,0.251,0.2428,12,0.2452,87,0.4688,0,-1,,0,-1,,0,-1,,0,-1,,0.0102,82.06,12,130967
80.0,1,-1,confirm,1.0,-70.23,-86.23,11.67,45,81.9,70.23,384,0.117,1.193,0.069,-0.1523,12,-0.1323,301,0.3047,0,-1,,0,-1,,0,-1,,0,-1,,0.3719,40.26,12,131181
80.0,1,1,fallback,1.0,-26.36,-42.36,14.13,54,40.49,26.36,166,0.325,1.853,0.093,0.105,12,0.1721,1,0.4009,0,-1,,0,-1,,0,-1,,0,-1,,0.3047,81.99,12,131565
80.0,1,-1,confirm,1.0,-79.16,-95.16,2.52,5,81.68,79.16,871,0.006,0.747,0.04,-0.0717,12,-0.051,41,0.2777,0,-1,,0,-1,,0,-1,,0,-1,,0.135,40.43,12,131731
80.0,1,1,fallback,1.0,-32.85,-48.85,7.27,55,40.12,32.85,428,0.129,1.006,0.095,0.2169,12,0.2211,28,0.4014,0,-1,,0,-1,,0,-1,,0,-1,,0.0555,81.7,12,132602
80.0,1,-1,confirm,1.0,57.29,41.29,100.19,1680,42.9,19.15,2009,0.836,1.159,0.154,0.2394,13,0.3287,1525,0.776,1,380,-12.56,1,380,-12.56,1,2000,66.91,0,-1,,0.3517,40.09,12,133030
80.0,1,1,confirm,1.0,100.73,84.73,141.92,537,41.19,-0.0,713,0.753,1.255,0.143,0.3785,13,0.4214,453,0.7253,0,-1,,0,-1,,0,-1,,0,-1,,0.4945,43.33,13,135039
80.0,1,-1,confirm,1.0,7.36,-8.64,49.24,215,41.88,0.45,319,0.674,0.485,0.025,-0.1908,13,-0.1783,298,0.6171,0,-1,,0,-1,,0,-1,,0,-1,,0.1377,40.61,13,135752
80.0,1,1,confirm,1.0,17.3,1.3,58.04,892,40.73,39.73,1038,0.859,1.158,0.106,0.084,14,0.2094,15,0.4655,1,21,-1.37,1,21,-1.37,1,21,-1.37,1,23,4.04,0.5502,42.09,13,136071
