theta,registry,side,kind,grid_s,gross_bp,net_real_bp,peak_fav_bp,t_peak_c,giveback_bp,max_adv_bp,dur_c,frac_peak,clmx60_pk,er600_pk,slean_pk,hod_pk,slmax,t_slmax_c,slmax60,slmin,t_slmin_c,r8_a05x0_trig,r8_a05x0_t_c,r8_a05x0_gx,r8_a10x0_trig,r8_a10x0_t_c,r8_a10x0_gx,r8_a20x0_trig,r8_a20x0_t_c,r8_a20x0_gx,r8_a10xm10_trig,r8_a10xm10_t_c,r8_a10xm10_gx,r8_a10xm20_trig,r8_a10xm20_t_c,r8_a10xm20_gx,r8_a10xm30_trig,r8_a10xm30_t_c,r8_a10xm30_gx,dv20_trig,dv20_t_c,dv20_gx,dv30_trig,dv30_t_c,dv30_gx,dv40_trig,dv40_t_c,dv40_gx,dive_depth,lag_bp,hod_entry,entry_idx
100.0,0,-1,confirm,0.1,20.95,4.95,71.4,4282,50.46,13.33,7905,0.542,0.942,0.088,-0.0598,1,0.7819,2490,1.0,-0.9536,5803,1,213,-5.71,1,213,-5.71,1,213,-5.71,1,295,-1.43,1,1294,18.09,1,1840,22.85,1,1294,18.09,1,1840,22.85,1,3251,43.79,0.907,99.44,1,65912
100.0,0,1,confirm,0.1,-84.91,-100.91,14.31,7403,99.22,84.91,18301,0.405,2.133,0.118,-0.2027,2,0.8711,7141,1.0,-0.9165,11327,1,250,3.34,1,250,3.34,1,250,3.34,1,273,1.91,1,304,-6.68,1,413,-0.48,1,304,-6.68,1,413,-0.48,1,413,-0.48,0.434,50.82,2,73817
100.0,0,-1,confirm,0.1,-40.41,-56.41,11.07,92,51.48,40.41,2403,0.038,0.32,0.151,0.5305,2,0.7338,369,1.0,-0.603,1938,1,711,-7.7,1,711,-7.7,1,711,-7.7,1,711,-7.7,1,711,-7.7,1,711,-7.7,1,711,-7.7,1,711,-7.7,1,1404,-32.72,0.4377,99.08,2,92118
100.0,0,1,confirm,0.1,12.46,-3.54,63.25,52057,50.79,41.69,68008,0.765,3.782,0.246,0.648,4,0.9695,28579,1.0,-0.9349,18786,1,954,-3.83,1,954,-3.83,1,954,-3.83,1,1754,0.0,1,1754,0.0,1,2523,-4.31,1,71,0.48,1,2523,-4.31,1,2728,-5.27,0.1516,51.54,2,94521
100.0,0,-1,confirm,0.1,-67.96,-83.96,34.46,4104,102.42,67.96,25787,0.159,1.774,0.555,-0.3472,4,0.964,10610,1.0,-0.9861,2162,1,555,-0.96,1,555,-0.96,1,555,-0.96,1,602,-0.96,1,827,3.83,1,1140,2.87,1,827,3.83,1,1140,2.87,1,1432,6.7,0.743,50.47,4,162529
100.0,0,1,fallback,0.1,82.71,66.71,134.05,7377,51.34,4.75,10989,0.671,2.177,0.174,0.1897,5,0.9232,9378,1.0,-0.6723,1842,1,767,13.31,1,767,13.31,1,767,13.31,1,767,13.31,1,767,13.31,1,1766,39.93,1,767,13.31,1,1766,39.93,1,1768,39.93,0.6143,102.77,5,188316
100.0,0,-1,confirm,0.1,-95.23,-111.23,6.13,312,101.36,95.23,78453,0.004,0.078,0.09,0.2894,5,0.9841,43307,1.0,-0.9855,60631,1,1042,3.77,1,1042,3.77,1,1042,3.77,1,1042,3.77,1,1042,3.77,1,1131,3.77,1,1042,3.77,1,1131,3.77,1,1461,2.83,0.629,50.66,5,199305
100.0,0,1,fallback,0.1,-8.41,-24.41,42.03,7693,50.44,26.15,12958,0.594,1.614,0.311,0.3484,7,0.9915,2745,1.0,-0.8961,10238,1,594,-18.68,1,594,-18.68,1,594,-18.68,1,594,-18.68,1,598,-18.68,1,600,-19.61,1,598,-18.68,1,600,-19.61,1,618,-21.95,0.8803,101.42,7,277758
100.0,0,-1,confirm,0.1,57.02,41.02,106.57,43091,49.54,36.92,71927,0.599,0.141,0.22,-0.3975,9,0.9978,65295,1.0,-0.9751,9411,1,574,-0.93,1,574,-0.93,1,574,-0.93,1,574,-0.93,1,578,-0.93,1,2388,-2.8,1,578,-0.93,1,2388,-2.8,1,2394,-6.54,1.0,50.23,8,290716
100.0,0,1,confirm,0.1,-93.08,-109.08,6.11,1765,99.19,93.08,92117,0.019,0.009,0.293,0.9134,10,1.0,57903,1.0,-0.9854,56086,1,1272,0.47,1,1272,0.47,1,1272,0.47,1,1272,0.47,1,1405,0.47,1,1444,-0.47,1,0,0.0,1,0,0.0,1,0,0.0,0.1328,50.08,10,362643
100.0,0,-1,confirm,0.1,36.06,20.06,86.36,65019,50.3,0.95,83186,0.782,8.763,0.461,0.8135,14,0.9847,74198,1.0,-0.9922,40565,1,117,-0.0,1,117,-0.0,1,488,11.86,1,495,10.44,1,560,8.54,1,560,8.54,1,560,8.54,1,560,8.54,1,783,15.18,1.0,99.13,12,454760
100.0,0,1,confirm,0.1,-88.1,-104.1,11.43,20627,99.53,88.1,210469,0.098,1.035,0.056,-0.0208,15,1.0,86069,1.0,-1.0,128250,1,321,-1.43,1,321,-1.43,1,321,-1.43,1,360,0.0,1,414,0.0,1,433,0.0,1,414,0.0,1,433,0.0,1,433,0.0,0.8918,50.73,14,537946
100.0,0,-1,confirm,0.1,93.69,77.69,143.65,159794,49.97,36.99,163401,0.978,0.135,0.451,0.5086,1,1.0,22223,1.0,-1.0,92895,1,655,3.36,1,655,3.36,1,655,3.36,1,655,3.36,1,830,2.4,1,830,2.4,1,830,2.4,1,830,2.4,1,831,2.4,1.0,99.41,20,748415
100.0,0,1,confirm,0.1,68.87,52.87,120.28,48700,51.41,48.01,53420,0.912,0.478,0.243,0.1655,2,0.9833,6427,1.0,-0.9194,7852,1,761,0.97,1,761,0.97,1,761,0.97,1,1681,-3.88,1,1681,-3.88,1,1681,-3.88,1,1681,-3.88,1,1681,-3.88,1,1929,0.0,0.9849,50.69,1,911816
100.0,0,-1,confirm,0.1,50.09,34.09,101.15,24623,51.06,28.9,33483,0.735,0.523,0.181,0.3941,3,0.8657,5742,1.0,-0.9913,25894,1,1143,11.56,1,1143,11.56,1,1143,11.56,1,1240,11.08,1,1240,11.08,1,1240,11.08,1,1240,11.08,1,1240,11.08,1,1240,11.08,1.0,50.8,2,965236
100.0,0,1,confirm,0.1,11.62,-4.38,62.45,7312,50.83,19.36,10808,0.677,2.164,0.277,0.3116,3,0.9185,1665,1.0,-0.9679,2471,1,975,8.23,1,975,8.23,1,975,8.23,1,1060,6.29,1,1071,4.84,1,1071,4.84,1,1071,4.84,1,1071,4.84,1,2236,3.87,0.1042,51.58,3,998719
100.0,0,-1,confirm,0.1,-72.05,-88.05,33.85,13996,105.89,72.05,38448,0.364,1.224,0.461,0.5237,4,0.93,31918,1.0,-0.9345,27871,1,701,-2.9,1,701,-2.9,1,701,-2.9,1,701,-2.9,1,701,-2.9,1,701,-2.9,1,701,-2.9,1,701,-2.9,1,701,-2.9,0.955,50.51,4,1009527
