theta,registry,side,kind,grid_s,gross_bp,net_real_bp,peak_fav_bp,t_peak_c,giveback_bp,max_adv_bp,dur_c,frac_peak,clmx60_pk,er600_pk,slean_pk,hod_pk,slmax,t_slmax_c,slmax60,r8_a05x0_trig,r8_a05x0_t_c,r8_a05x0_gx,r8_a10x0_trig,r8_a10x0_t_c,r8_a10x0_gx,r8_a20x0_trig,r8_a20x0_t_c,r8_a20x0_gx,r8_a10xm10_trig,r8_a10xm10_t_c,r8_a10xm10_gx,dive_depth,lag_bp,hod_entry,entry_idx
80.0,1,1,confirm,1.0,21.02,5.02,63.07,188,42.05,0.84,314,0.599,0.641,0.145,-0.078,5,0.0165,238,0.7126,0,-1,,0,-1,,0,-1,,0,-1,,0.4344,42.22,5,106343
80.0,1,-1,confirm,1.0,1.68,-14.32,43.64,1351,41.96,31.89,1534,0.881,0.916,0.113,0.3579,6,0.4768,1030,0.8876,1,39,-5.03,0,-1,,0,-1,,0,-1,,0.1979,41.78,5,106657
80.0,1,1,confirm,1.0,31.05,15.05,71.34,938,40.29,5.04,1651,0.568,1.121,0.167,0.0298,6,0.0377,922,0.688,0,-1,,0,-1,,0,-1,,0,-1,,0.5253,42.14,6,108191
80.0,1,-1,confirm,1.0,153.11,137.11,192.44,3204,39.32,35.14,3573,0.897,0.81,0.145,0.0239,7,0.381,3538,0.9005,1,357,-30.96,1,357,-30.96,1,357,-30.96,0,-1,,0.4386,40.0,6,109842
80.0,1,1,confirm,1.0,-47.58,-63.58,33.14,67,80.72,47.58,1364,0.049,1.121,0.133,-0.3003,7,0.2475,535,0.7494,1,1126,-31.44,1,1126,-31.44,1,1126,-31.44,0,-1,,0.2032,40.1,7,113415
80.0,1,-1,fallback,1.0,7.68,-8.32,47.81,508,40.13,11.95,633,0.803,1.977,0.123,0.0065,8,0.067,299,0.702,1,303,18.78,0,-1,,0,-1,,0,-1,,0.2514,80.45,7,114779
80.0,1,1,confirm,1.0,-65.79,-81.79,14.52,140,80.31,65.79,544,0.257,0.325,0.024,0.2359,8,0.4171,493,0.5829,1,528,-60.66,1,528,-60.66,1,528,-60.66,1,528,-60.66,0.0063,40.32,8,115412
80.0,1,-1,fallback,1.0,-28.38,-44.38,12.9,163,41.28,28.38,357,0.457,0.775,0.174,0.1202,8,0.3416,330,0.8845,0,-1,,0,-1,,0,-1,,0,-1,,0.1365,80.2,8,115956
80.0,1,1,confirm,1.0,4.29,-11.71,44.6,732,40.31,37.74,790,0.927,0.941,0.061,0.2754,8,0.3925,558,0.849,0,-1,,0,-1,,0,-1,,0,-1,,0.0189,41.34,8,116313
80.0,1,-1,confirm,1.0,142.31,126.31,181.74,3575,39.43,38.58,3679,0.972,0.701,0.091,0.0289,9,0.2911,1554,0.7082,1,449,6.0,1,449,6.0,1,449,6.0,1,614,-5.14,0.1463,40.13,8,117103
