theta,registry,side,kind,grid_s,gross_bp,net_real_bp,peak_fav_bp,t_peak_c,giveback_bp,max_adv_bp,dur_c,frac_peak,clmx60_pk,er600_pk,slean_pk,hod_pk,slmax,t_slmax_c,slmax60,slmin,t_slmin_c,r8_a05x0_trig,r8_a05x0_t_c,r8_a05x0_gx,r8_a10x0_trig,r8_a10x0_t_c,r8_a10x0_gx,r8_a20x0_trig,r8_a20x0_t_c,r8_a20x0_gx,r8_a10xm10_trig,r8_a10xm10_t_c,r8_a10xm10_gx,r8_a10xm20_trig,r8_a10xm20_t_c,r8_a10xm20_gx,r8_a10xm30_trig,r8_a10xm30_t_c,r8_a10xm30_gx,dv20_trig,dv20_t_c,dv20_gx,dv30_trig,dv30_t_c,dv30_gx,dv40_trig,dv40_t_c,dv40_gx,dive_depth,lag_bp,hod_entry,entry_idx
80.0,0,1,fallback,0.1,-37.25,-53.25,2.81,1062,40.06,37.25,3807,0.279,0.015,0.269,-0.9488,4,0.9776,2395,1.0,-1.0,1662,1,3158,-25.3,1,3158,-25.3,1,3158,-25.3,1,3158,-25.3,1,3158,-25.3,1,3158,-25.3,1,104,0.0,1,169,-0.7,1,169,-0.7,0.1819,80.78,4,1019425
80.0,0,-1,confirm,0.1,15.52,-0.48,57.15,11644,41.63,19.75,14338,0.812,2.044,0.261,0.8943,4,1.0,5468,1.0,-1.0,1583,1,892,-5.64,1,892,-5.64,1,892,-5.64,1,892,-5.64,1,893,-4.94,1,953,-3.53,1,893,-4.94,1,953,-3.53,1,953,-3.53,1.0,40.05,4,1023232
80.0,0,1,confirm,0.1,134.26,118.26,185.13,266056,50.88,9.89,278031,0.957,0.102,0.209,-0.9609,12,1.0,5695,1.0,-1.0,7511,1,39,-7.07,1,39,-7.07,1,39,-7.07,1,39,-7.07,1,39,-7.07,1,39,-7.07,1,39,-7.07,1,39,-7.07,1,39,-7.07,1.0,41.86,4,1037570
80.0,0,-1,confirm,0.1,138.75,122.75,181.29,30762,42.53,38.35,31005,0.992,0.427,0.178,0.6518,13,1.0,16909,1.0,-1.0,683,1,682,-3.49,1,682,-3.49,1,682,-3.49,1,682,-3.49,1,683,-3.49,1,683,-3.49,1,683,-3.49,1,683,-3.49,1,683,-3.49,1.0,49.95,12,1315601
80.0,0,1,confirm,0.1,26.87,10.87,70.71,818,43.84,1.41,1490,0.549,2.518,0.17,-0.3948,13,0.5671,379,1.0,-0.8056,736,1,436,22.63,1,436,22.63,1,436,22.63,1,436,22.63,1,437,21.92,1,564,18.38,1,0,0.0,1,564,18.38,1,590,19.09,0.7415,43.32,13,1346606
80.0,0,-1,confirm,0.1,-69.11,-85.11,16.92,244,86.03,69.11,13304,0.018,2.196,0.179,0.5721,13,0.9982,11574,1.0,-0.9997,13137,1,3038,-30.32,1,3038,-30.32,1,3038,-30.32,1,3038,-30.32,1,3038,-30.32,1,3038,-30.32,1,3038,-30.32,1,3038,-30.32,1,3039,-32.44,0.6647,43.53,13,1348096
80.0,0,1,fallback,0.1,39.22,23.22,79.84,607,40.62,2.8,920,0.66,0.981,0.37,0.4504,13,0.9714,0,1.0,0.0567,920,0,-1,,0,-1,,0,-1,,0,-1,,0,-1,,0,-1,,0,-1,,0,-1,,0,-1,,1.0,86.18,13,1361400
80.0,0,-1,confirm,0.1,-61.39,-77.39,19.53,6117,80.92,61.39,25662,0.238,0.359,0.106,0.9873,14,1.0,10255,1.0,-1.0,7762,1,88,-4.19,1,88,-4.19,1,574,-13.25,1,103,-4.19,1,672,-32.09,1,3380,-23.72,1,672,-32.09,1,3380,-23.72,1,3380,-23.72,1.0,40.3,13,1362320
80.0,0,1,fallback,0.1,-31.89,-47.89,8.32,5167,40.21,31.89,14746,0.35,9.036,0.471,1.0,14,1.0,0,1.0,-1.0,4116,1,1266,-12.48,1,1266,-12.48,1,1266,-12.48,1,1266,-12.48,1,1266,-12.48,1,1266,-12.48,1,1266,-12.48,1,1266,-12.48,1,1266,-12.48,1.0,81.08,14,1387982
80.0,0,-1,confirm,0.1,-62.6,-78.6,18.08,19723,80.68,62.6,39285,0.502,0.011,0.454,-0.9909,15,1.0,8714,1.0,-1.0,2564,1,471,8.35,1,471,8.35,1,471,8.35,1,471,8.35,1,471,8.35,1,471,8.35,1,471,8.35,1,471,8.35,1,471,8.35,1.0,40.18,14,1402728
80.0,0,1,fallback,0.1,335.25,319.25,377.41,1922009,42.16,24.19,1934215,0.994,4.986,0.154,0.9962,21,1.0,2245,1.0,-1.0,4324,1,225,-8.29,1,225,-8.29,1,225,-8.29,1,225,-8.29,1,227,-8.29,1,227,-8.29,1,227,-8.29,1,227,-8.29,1,227,-8.29,1.0,80.83,16,1442013
80.0,0,-1,confirm,0.1,-71.56,-87.56,10.03,2281,81.59,71.56,40317,0.057,4.01,0.407,1.0,21,1.0,548,1.0,-1.0,680,1,680,-3.34,1,680,-3.34,1,680,-3.34,1,680,-3.34,1,680,-3.34,1,680,-3.34,1,680,-3.34,1,680,-3.34,1,680,-3.34,1.0,40.63,21,3376228
