date,wind_mwh,solar_mwh
2024-03-31,1405453.0,466657.0
2024-04-01,1579868.0,441426.0
2024-04-02,1844232.0,487123.0
2024-04-03,1605615.0,561340.0
2024-04-04,1226274.0,641754.0
2024-04-05,1764102.0,581812.0
2024-04-06,1945495.0,597442.0
2024-04-07,1748574.0,630125.0
2024-04-08,1376201.0,571543.0
2024-04-09,1392001.0,475840.0
2024-04-10,1239997.0,515965.0
2024-04-11,1324756.0,606531.0
2024-04-12,1717277.0,636320.0
2024-04-13,1820297.0,633297.0
2024-04-14,1482594.0,679686.0
2024-04-15,1841155.0,626062.0
2024-04-16,1805365.0,639086.0
2024-04-17,1523484.0,588660.0
2024-04-18,1622605.0,595366.0
2024-04-19,1413934.0,576609.0
2024-04-20,1520685.0,535387.0
2024-04-21,989942.0,596269.0
2024-04-22,1587745.0,715996.0
2024-04-23,1678676.0,712164.0
2024-04-24,1255592.0,643789.0
2024-04-25,1851923.0,594988.0
2024-04-26,1993087.0,575104.0
2024-04-27,1986862.0,523016.0
2024-04-28,1321906.0,624680.0
2024-04-29,1097244.0,721268.0
2024-04-30,1592628.0,671305.0
2024-05-01,1623983.0,648211.0
2024-05-02,1216494.0,695671.0
2024-05-03,1147163.0,647063.0
2024-05-04,1362125.0,523771.0
2024-05-05,1175266.0,535963.0
2024-05-06,1835784.0,600011.0
2024-05-07,1611506.0,666478.0
2024-05-08,1298712.0,696354.0
2024-05-09,1185756.0,637513.0
2024-05-10,915327.0,639907.0
2024-05-11,930382.0,665503.0
2024-05-12,1105422.0,633641.0
2024-05-13,996635.0,616548.0
2024-05-14,889033.0,662805.0
2024-05-15,1280724.0,647067.0
2024-05-16,918519.0,646031.0
2024-05-17,976202.0,645304.0
2024-05-18,1294265.0,680528.0
2024-05-19,1593923.0,654452.0
2024-05-20,1393800.0,730074.0
2024-05-21,1604526.0,736001.0
2024-05-22,1480142.0,715818.0
2024-05-23,1507831.0,699415.0
2024-05-24,1562524.0,690472.0
2024-05-25,1541574.0,711621.0
2024-05-26,1359772.0,709541.0
2024-05-27,999680.0,719330.0
2024-05-28,1355364.0,732121.0
2024-05-29,1136823.0,778989.0
2024-05-30,1363894.0,745212.0
2024-05-31,860586.0,769367.0
2024-06-01,893671.0,701876.0
2024-06-02,1439801.0,639238.0
2024-06-03,1340284.0,671971.0
2024-06-04,1435840.0,739757.0
2024-06-05,1189262.0,709479.0
2024-06-06,1322368.0,784797.0
2024-06-07,1379816.0,808065.0
2024-06-08,1334412.0,796901.0
2024-06-09,1282003.0,748941.0
2024-06-10,895969.0,736091.0
2024-06-11,790984.0,759603.0
2024-06-12,1147293.0,784925.0
2024-06-13,1270598.0,799393.0
2024-06-14,1068152.0,825480.0
2024-06-15,1548859.0,821179.0
2024-06-16,1840494.0,777705.0
2024-06-17,1977309.0,708704.0
2024-06-18,1995046.0,717225.0
2024-06-19,1173495.0,662748.0
2024-06-20,979869.0,732436.0
2024-06-21,1088744.0,798914.0
2024-06-22,1189034.0,777181.0
2024-06-23,995570.0,774430.0
2024-06-24,1315429.0,777541.0
2024-06-25,1292633.0,751611.0
2024-06-26,1065064.0,733077.0
2024-06-27,1258261.0,732175.0
2024-06-28,1539765.0,762438.0
2024-06-29,1466337.0,740929.0
2024-06-30,1296116.0,757724.0
2024-07-01,1430178.0,766936.0
2024-07-02,1464837.0,798813.0
2024-07-03,1119248.0,806691.0
2024-07-04,999323.0,787172.0
2024-07-05,943980.0,742720.0
2024-07-06,660504.0,780825.0
2024-07-07,851147.0,736625.0
2024-07-08,595472.0,680211.0
2024-07-09,340255.0,737677.0
2024-07-10,656756.0,730200.0
2024-07-11,716000.0,730287.0
2024-07-12,1068264.0,676291.0
2024-07-13,1124069.0,679113.0
