population,label,threshold,n_population,n_winner_pop,base_win_rate,n_fired,n_fired_winners,precision,recall,lift,mean_net_bps_fired,median_net_bps_fired,median_net_bps_pop
window=h48-54,hold_min_le_avoid_chop,30,1464,192,0.13114754098360656,1362,96,0.07048458149779736,0.5,0.5374449339207049,-14.050920873246143,-12.6886538158147,-11.415958233290846
window=h48-54,hold_min_le_avoid_chop,60,1464,192,0.13114754098360656,1428,156,0.1092436974789916,0.8125,0.8329831932773109,-11.589198899526142,-11.843986375115248,-11.415958233290846
window=h48-54,hold_min_ge_runners,60,1464,192,0.13114754098360656,50,50,1.0,0.2604166666666667,7.625,72.56033037168817,61.832497767294555,-11.415958233290846
window=h48-54,hold_min_ge_runners,120,1464,192,0.13114754098360656,0,0,,0.0,,,,-11.415958233290846
window=h48-54,fast_winner_pattern,True,1464,192,0.13114754098360656,0,0,,0.0,,,,-11.415958233290846
window=h48-54,clean_no_underwater_30m_cover,True,1464,192,0.13114754098360656,0,0,,0.0,,,,-11.415958233290846
window=h48-54,net_bps_per_min_floor,0.05,1464,192,0.13114754098360656,176,176,1.0,0.9166666666666666,7.625,38.81317063609071,22.497099604521036,-11.415958233290846
window=h48-54,net_bps_per_min_floor,0.1,1464,192,0.13114754098360656,165,165,1.0,0.859375,7.625,41.23335539511578,29.10199043213919,-11.415958233290846
window=h48-54,net_bps_per_min_floor,0.2,1464,192,0.13114754098360656,152,152,1.0,0.7916666666666666,7.625,44.31313900180204,31.154850084115335,-11.415958233290846
window=h48-54,net_bps_per_min_floor,0.5,1464,192,0.13114754098360656,108,108,1.0,0.5625,7.625,56.328992771606686,47.44297769286183,-11.415958233290846
window=h54-60,cover_by_15m_TRUE,True,2255,231,0.1024390243902439,576,229,0.3975694444444444,0.9913419913419913,3.881035052910053,-1.1808997042963145,-2.787460394145047,-11.405736432539832
window=h54-60,cover_by_30m_TRUE,True,2255,231,0.1024390243902439,578,229,0.3961937716262976,0.9913419913419913,3.8676058658757624,-1.200879865789225,-2.8150263931400437,-11.405736432539832
window=h54-60,cover_by_60m_TRUE,True,2255,231,0.1024390243902439,578,229,0.3961937716262976,0.9913419913419913,3.8676058658757624,-1.200879865789225,-2.8150263931400437,-11.405736432539832
window=h54-60,ever_underwater_FALSE,True,2255,231,0.1024390243902439,14,12,0.8571428571428571,0.05194805194805195,8.36734693877551,21.43414593781593,25.63266109974214,-11.405736432539832
window=h54-60,reached_12bps_within_15m,True,2255,231,0.1024390243902439,417,218,0.5227817745803357,0.9437229437229437,5.103345894712801,1.3587024987780452,-1.4152054519976254,-11.405736432539832
window=h54-60,reached_12bps_within_30m,True,2255,231,0.1024390243902439,432,228,0.5277777777777778,0.987012987012987,5.152116402116403,1.242472592360967,-1.4463298384274186,-11.405736432539832
window=h54-60,reached_20bps_within_30m,True,2255,231,0.1024390243902439,241,193,0.8008298755186722,0.8354978354978355,7.8176249753013245,6.448848385013997,2.168991358549828,-11.405736432539832
window=h54-60,reached_20bps_within_60m,True,2255,231,0.1024390243902439,242,193,0.7975206611570248,0.8354978354978355,7.7853207398661946,6.379574396562903,2.168991358549828,-11.405736432539832
window=h54-60,volume_zscore_le,-0.5,2255,231,0.1024390243902439,851,88,0.10340775558166862,0.38095238095238093,1.0094566616305747,-11.684559555006386,-11.189886366713482,-11.405736432539832
window=h54-60,volume_zscore_le,-0.25,2255,231,0.1024390243902439,1463,147,0.10047846889952153,0.6363636363636364,0.9808612440191388,-11.675155058788183,-11.378111704213392,-11.405736432539832
window=h54-60,volume_zscore_le,0.0,2255,231,0.1024390243902439,1643,159,0.0967741935483871,0.6883116883116883,0.9447004608294931,-11.631553735869506,-11.400240282565196,-11.405736432539832
window=h54-60,volume_zscore_le,0.25,2255,231,0.1024390243902439,1751,177,0.1010850942318675,0.7662337662337663,0.986783062739659,-11.735314748780155,-11.531670416585738,-11.405736432539832
window=h54-60,volume_zscore_le,0.5,2255,231,0.1024390243902439,1805,177,0.09806094182825485,0.7662337662337663,0.957261574990107,-11.740909865616157,-11.531670416585738,-11.405736432539832
window=h54-60,nt_ratio_entry_vs_pre30_ge,1.0,2255,231,0.1024390243902439,726,86,0.1184573002754821,0.3722943722943723,1.156368883641611,-11.162242618411797,-10.809011286451383,-11.405736432539832
window=h54-60,nt_ratio_entry_vs_pre30_ge,1.5,2255,231,0.1024390243902439,438,50,0.1141552511415525,0.21645021645021645,1.1143726897151556,-11.319211944878107,-11.189886366713482,-11.405736432539832
window=h54-60,nt_ratio_entry_vs_pre30_ge,2.0,2255,231,0.1024390243902439,270,30,0.1111111111111111,0.12987012987012986,1.0846560846560847,-10.95659531422169,-10.165866625692171,-11.405736432539832
window=h54-60,nt_ratio_entry_vs_pre30_ge,3.0,2255,231,0.1024390243902439,150,19,0.12666666666666668,0.08225108225108226,1.2365079365079368,-10.882298236863608,-10.131333819847267,-11.405736432539832
window=h54-60,entry_imb_long_bid_ge,-0.2,2255,231,0.1024390243902439,0,0,,0.0,,,,-11.405736432539832
window=h54-60,entry_imb_long_bid_ge,0.0,2255,231,0.1024390243902439,0,0,,0.0,,,,-11.405736432539832
window=h54-60,entry_imb_long_bid_ge,0.2,2255,231,0.1024390243902439,0,0,,0.0,,,,-11.405736432539832
window=h54-60,entry_imb_long_bid_ge,0.5,2255,231,0.1024390243902439,0,0,,0.0,,,,-11.405736432539832
window=h54-60,entry_imb_short_ask_le,0.2,2255,231,0.1024390243902439,0,0,,0.0,,,,-11.405736432539832
window=h54-60,entry_imb_short_ask_le,0.0,2255,231,0.1024390243902439,0,0,,0.0,,,,-11.405736432539832
window=h54-60,entry_imb_short_ask_le,-0.2,2255,231,0.1024390243902439,0,0,,0.0,,,,-11.405736432539832
window=h54-60,entry_imb_short_ask_le,-0.5,2255,231,0.1024390243902439,0,0,,0.0,,,,-11.405736432539832
window=h54-60,pre5_buyvol_long_ge,0.5,2255,231,0.1024390243902439,744,87,0.11693548387096774,0.37662337662337664,1.1415130568356375,-11.96166522485041,-11.063623748552748,-11.405736432539832
window=h54-60,pre5_buyvol_long_ge,0.7,2255,231,0.1024390243902439,622,65,0.1045016077170418,0.2813852813852814,1.0201347419996938,-11.914958128699723,-11.047832121207673,-11.405736432539832
window=h54-60,pre5_buyvol_long_ge,0.9,2255,231,0.1024390243902439,500,52,0.104,0.22510822510822512,1.0152380952380953,-11.653690172315253,-10.972957461973376,-11.405736432539832
window=h54-60,pre5_buyvol_short_le,0.5,2255,231,0.1024390243902439,441,55,0.12471655328798185,0.23809523809523808,1.217471115430299,-9.903250120680381,-10.758958396232897,-11.405736432539832
window=h54-60,pre5_buyvol_short_le,0.3,2255,231,0.1024390243902439,321,41,0.1277258566978193,0.1774891774891775,1.2468476487168076,-9.286973812030439,-10.439139031718211,-11.405736432539832
window=h54-60,pre5_buyvol_short_le,0.1,2255,231,0.1024390243902439,192,17,0.08854166666666667,0.0735930735930736,0.8643353174603176,-10.665882480392794,-10.781525615702753,-11.405736432539832
window=h54-60,trade_present_score_ge,25,2255,231,0.1024390243902439,2159,224,0.10375173691523853,0.9696969696969697,1.0128145746487571,-11.59723504375528,-11.339702947096555,-11.405736432539832
window=h54-60,trade_present_score_ge,40,2255,231,0.1024390243902439,887,77,0.08680947012401354,0.3333333333333333,0.8474257797820369,-12.105831414530419,-11.82947570323421,-11.405736432539832
window=h54-60,trade_present_score_ge,55,2255,231,0.1024390243902439,587,53,0.09028960817717206,0.22943722943722944,0.8813985560152512,-12.217932726779084,-11.241060203826406,-11.405736432539832
window=h54-60,trade_present_score_ge,70,2255,231,0.1024390243902439,287,11,0.03832752613240418,0.047619047619047616,0.37414965986394555,-12.83468524998207,-11.378111704213392,-11.405736432539832
